Passenger 1 Id,Passenger 2 Id,Number of Flights Together
701,760,15
3503,3590,14
2717,2759,14
2939,5490,13
1337,2867,12
2939,4395,12
3021,9522,12
7877,9252,12
3278,5423,12
3590,6813,12
701,763,12
4316,4373,12
1208,3093,12
1371,975,12
382,392,12
2511,407,12
5481,5491,12
366,374,12
4395,4399,12
2926,3590,12
2759,4316,12
760,763,12
1673,4827,12
2550,4441,12
1337,1484,12
4016,4059,12
7902,9369,11
5443,5491,11
1053,3477,11
1208,5789,11
1337,1464,11
6418,6447,11
382,4451,11
1046,4552,11
2959,2969,11
755,771,11
382,7560,11
1001,1023,11
1966,6777,11
366,752,11
4034,4046,11
2906,901,11
4451,7560,11
1733,6507,11
1666,1696,11
9752,9828,11
2759,4373,11
746,772,11
10899,855,11
6113,8679,11
4316,5481,11
1029,360,11
3589,9258,11
4011,4044,11
4541,7162,11
716,724,11
4607,4674,11
2939,2969,11
733,752,11
4009,4339,11
1023,772,11
10541,10576,11
3735,7685,11
1818,2783,11
928,975,11
4025,4053,11
3021,3090,11
4200,6205,11
1865,1884,11
1678,2097,11
6052,6100,11
4316,5491,11
1337,1371,11
7747,9522,11
7866,7872,11
1343,288,11
2939,2959,11
7810,9069,11
816,866,11
5443,5481,11
1849,392,11
226,624,11
2717,4316,11
5544,5546,11
2068,7810,11
9069,9098,10
3356,6805,10
1337,2939,10
8596,8679,10
1484,2867,10
5101,5111,10
3896,5375,10
1464,1696,10
10016,10083,10
7662,7866,10
4012,4083,10
11296,75,10
5443,5494,10
4056,8363,10
274,275,10
5464,5478,10
3418,4249,10
1884,4607,10
2759,5443,10
733,739,10
624,670,10
5443,5500,10
10716,10767,10
5494,5500,10
3120,477,10
5440,5443,10
374,739,10
374,752,10
1041,2489,10
1677,4249,10
1095,760,10
4388,4395,10
2939,4399,10
6084,8961,10
5481,5500,10
2231,5522,10
2068,2408,10
739,752,10
3418,6813,10
5789,6813,10
5423,8158,10
2476,2489,10
8260,8262,10
1208,6813,10
2776,2857,10
4249,6813,10
2960,4850,10
751,763,10
3847,3865,10
362,368,10
5491,5494,10
3169,606,10
1095,701,10
1447,2550,10
4012,4080,10
1464,1666,10
9258,9282,10
3180,4483,10
2905,2988,10
1371,928,10
4774,6560,10
4009,4012,10
3223,8257,10
5966,5977,10
4682,4700,10
2759,5481,10
1635,1677,10
5440,5481,10
2926,6813,10
2201,8596,10
3466,9742,10
2201,8679,10
3590,4249,10
716,760,10
1484,2511,10
5792,5946,10
8562,8584,10
1677,7605,10
1337,1955,10
10368,8363,10
5440,5500,10
1849,9066,10
11046,11074,10
4395,5490,10
5911,5989,10
1337,928,10
2294,4969,10
5440,5491,10
3278,8158,10
5596,6418,10
4009,4083,10
2223,2441,10
3418,3590,10
5744,5798,10
3278,7039,10
1677,6813,10
1064,7579,10
10478,859,10
4316,5443,10
1822,1849,10
5505,5566,10
751,760,10
1884,2773,10
5482,8190,10
701,751,10
1447,4441,10
1677,3590,10
2759,5491,10
2857,2926,10
5491,5500,10
5481,5494,10
4249,6447,10
4609,4656,10
5440,5494,10
1337,975,10
1041,1378,10
4388,4399,10
392,9066,10
1378,2489,10
1865,2773,10
6522,6548,10
1772,7327,10
2511,2867,10
2511,928,10
3503,6813,10
12323,13221,10
2926,3503,10
10767,11871,10
3802,92,10
4339,5414,10
3544,3576,10
5423,975,10
2681,2697,10
4260,4294,10
1662,391,10
10702,10719,10
286,292,9
2511,4053,9
4316,4388,9
1884,4674,9
1041,1064,9
2440,2486,9
10067,12323,9
5720,5798,9
7327,8732,9
3418,6447,9
2759,5500,9
5706,5798,9
3527,3963,9
4044,4080,9
802,831,9
2911,2988,9
4044,4083,9
7605,8190,9
1715,5522,9
8007,8089,9
7685,8353,9
10350,8290,9
4942,4969,9
4316,5500,9
1822,7560,9
1001,368,9
1228,1287,9
1677,625,9
1351,979,9
8562,8596,9
2857,3093,9
1371,2959,9
1865,4607,9
5464,5486,9
1351,1377,9
1001,364,9
479,8596,9
10719,4451,9
4249,8158,9
2509,4609,9
10719,10764,9
2717,5491,9
5787,5795,9
3590,5789,9
2097,9752,9
11276,6777,9
2345,61,9
1053,716,9
4675,4917,9
2939,6020,9
2857,2906,9
2773,4674,9
3414,368,9
5706,5788,9
2097,9828,9
10702,4451,9
3021,3078,9
6017,6064,9
6560,8260,9
479,8679,9
4364,5016,9
7685,8289,9
211,8961,9
1678,9828,9
1001,1053,9
2939,407,9
3503,7872,9
5808,5865,9
7898,9066,9
2973,8363,9
1464,2789,9
2717,5494,9
1733,5869,9
264,271,9
1484,975,9
1677,5482,9
1053,724,9
2097,288,9
10731,11808,9
763,772,9
7643,8590,9
4044,4066,9
10440,10446,9
10023,2479,9
5456,5490,9
2857,8158,9
139,3889,9
4025,4042,9
2773,4607,9
1715,2231,9
5867,8590,9
3576,4674,9
7605,7685,9
1677,3418,9
2201,6113,9
167,855,9
10798,7209,9
11275,3677,9
1053,1095,9
855,9282,9
10313,10396,9
1976,1984,9
3278,3590,9
2969,928,9
3418,3503,9
10067,13221,9
1371,2969,9
5761,5788,9
211,6084,9
4013,4016,9
4012,4339,9
2964,8810,9
731,774,9
4042,4388,9
2717,407,9
6807,6823,9
6100,8411,9
4165,9049,9
10541,855,9
4009,4044,9
3529,4478,9
2529,4852,9
5522,7209,9
3609,3637,9
4056,4363,9
2759,407,9
5420,5467,9
2501,2556,9
4339,4395,9
479,6113,9
10203,10234,9
248,275,9
4969,4990,9
5734,5771,9
3735,8289,9
5744,5769,9
4147,8084,9
374,733,9
4011,4012,9
2886,5989,9
3590,7872,9
2717,5500,9
2062,2075,9
2857,901,9
4841,4881,9
5482,7605,9
13249,13296,9
760,772,9
740,763,9
2959,975,9
1666,4044,9
4066,4083,9
2117,241,9
1337,2969,9
2959,407,9
3503,7866,9
4053,928,9
724,772,9
5720,5744,9
4523,5434,9
3078,9271,9
2926,7220,9
1337,2511,9
1413,4200,9
4903,4988,9
2488,419,9
746,760,9
716,763,9
724,751,9
1371,2867,9
1865,4674,9
4034,7209,9
4827,9252,9
1023,1095,9
5731,5743,9
3002,3028,9
167,7162,9
4009,4399,9
1696,2789,9
6560,8262,9
1678,288,9
364,368,9
1371,1484,9
3090,9522,9
751,772,9
959,997,9
4009,4080,9
394,468,9
1677,8190,9
740,760,9
716,740,9
4011,4080,9
1208,2886,9
4013,4059,9
2941,4016,9
10067,9540,9
309,385,9
3548,3561,9
2776,2906,9
7243,8007,9
1371,2511,9
3937,5467,9
5716,5731,9
7768,7799,9
1677,3278,9
724,760,9
4011,4083,9
4009,4011,9
2857,6813,9
8006,8036,9
4774,8260,9
3292,4550,9
2776,901,9
724,740,9
3913,3924,9
1666,4011,9
2759,5440,9
1001,772,9
1484,2759,9
701,716,9
11276,11296,9
701,740,9
2511,4025,9
5423,7039,9
4066,4080,9
8037,8068,9
11175,11180,9
1484,2717,9
2717,5443,9
4339,4399,9
3590,7866,9
4042,4395,9
2867,407,9
2717,4373,9
5530,7677,9
2857,6707,9
4012,4044,9
716,746,9
2068,3802,9
4080,4083,9
1158,4761,9
2062,53,9
1208,3590,9
3590,7605,9
13657,13668,9
716,772,9
1484,928,9
740,755,9
4042,4399,9
1078,6003,9
13221,9540,9
1208,1677,9
3858,4522,9
4942,4990,9
5478,5486,9
2717,2867,9
2759,5494,9
4316,5440,9
1666,2789,9
1464,5459,9
2886,5490,9
4384,756,9
2959,928,9
1966,3361,9
4700,6020,9
6113,8596,9
230,271,9
3421,3477,9
2867,2939,9
2509,4656,9
1246,1831,9
258,8299,9
716,751,9
1023,1053,9
247,3188,9
4674,4969,9
3527,3937,9
3802,7810,9
603,649,9
2939,928,9
2511,2759,9
8529,9355,9
4009,5426,9
1677,2857,9
7662,8158,9
1747,8684,9
724,746,9
1646,1677,9
5744,5771,9
1484,407,9
4820,5522,9
2867,975,9
3356,7505,9
1715,4820,9
